

Duffing oscillator:   gamma = 0.28, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00   0.24575   0.23744
 20.00   0.58630   0.38258
 21.00   0.24575   0.23744
 22.00   0.58630   0.38258
 23.00   0.24575   0.23744
 24.00   0.58630   0.38258
 25.00   0.24575   0.23744
 26.00   0.58630   0.38258
 27.00   0.24575   0.23744
 28.00   0.58630   0.38258
 29.00   0.24575   0.23744
 30.00   0.58630   0.38258
 31.00   0.24575   0.23744
 32.00   0.58630   0.38258
 33.00   0.24575   0.23744
 34.00   0.58630   0.38258
 35.00   0.24575   0.23744
 36.00   0.58630   0.38258
 37.00   0.24575   0.23744
 38.00   0.58630   0.38258
