

Duffing oscillator:   gamma = 0.50, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 20.00  -0.12842   0.10555
 21.00   1.15864   0.28307
 22.00  -0.46713  -0.20584
 23.00  -0.40840   0.55186
 24.00   0.87157   0.45531
 25.00  -1.16163  -0.26439
 26.00  -0.60732   0.73076
 27.00   0.90155   0.42307
 28.00  -1.08543  -0.33019
 29.00  -0.60959   0.67232
 30.00   1.02609   0.33355
 31.00  -0.75709  -0.35713
 32.00  -0.62089   0.47945
 33.00   0.54845   0.64329
 34.00  -1.35585   0.36686
 35.00  -1.22298   0.47377
 36.00  -1.07786   0.80213
 37.00   1.29592   0.34424
 38.00  -0.67140  -0.30861
 39.00  -0.58098   0.45752
 40.00   0.87805   0.78226
 41.00  -1.29515   0.66884
 42.00   0.90051   0.79374
 43.00  -1.28855   0.68768
 44.00   1.05009   0.77929
 45.00  -1.30207   0.57778
 46.00  -0.59523  -0.22333
 47.00  -0.49805   0.48762
 48.00   1.19107   0.23740
 49.00  -0.29627  -0.08141
 50.00  -0.45532   0.89238
 51.00  -0.21413  -0.11537
 52.00  -0.61708   0.95853
 53.00   0.19660   0.20462
 54.00   0.01732   0.10289
 55.00   0.85594   0.50065
 56.00  -1.23422  -0.15556
 57.00  -0.62699   0.79739
 58.00   0.78639   0.45819
 59.00  -1.20643  -0.21541
 60.00  -0.61717   0.76926
 61.00   0.83407   0.44922
 62.00  -1.17189  -0.25691
 63.00  -0.60930   0.73916
 64.00   0.88700   0.43008
 65.00  -1.10858  -0.31452
 66.00  -0.60786   0.68923
 67.00   0.98913   0.36448
 68.00  -0.87845  -0.38025
 69.00  -0.63096   0.54034
 70.00   1.26705   0.49840
 71.00  -1.09988  -0.28252
 72.00  -0.59771   0.68316
 73.00   0.98290   0.37045
 74.00  -0.89963  -0.38094
 75.00  -0.62998   0.55251
 76.00   1.28230   0.38995
 77.00  -0.81048  -0.35158
 78.00  -0.62108   0.50454
 79.00   1.07850   0.75565
 80.00  -1.31236   0.49502
 81.00  -1.20997   0.03969
 82.00  -0.59667   0.81585
 83.00   0.65986   0.45468
 84.00  -1.23542  -0.18569
 85.00  -0.63249   0.79524
 86.00   0.80398   0.45496
 87.00  -1.19461  -0.23061
 88.00  -0.61368   0.75868
 89.00   0.85159   0.44404
 90.00  -1.15433  -0.27523
 91.00  -0.60764   0.72469
 92.00   0.91530   0.41553
 93.00  -1.06053  -0.34430
 94.00  -0.61216   0.65475
 95.00   1.06584   0.29904
 96.00  -0.61278  -0.29667
 97.00  -0.55383   0.45175
 98.00   1.15661   0.69811
 99.00  -1.31617   0.29073
 100.00  -0.97390   0.87067
 101.00   1.13020   0.21352
 102.00  -0.27874  -0.07190
 103.00  -0.52780   0.92784
 104.00  -0.04562   0.01733
 105.00   1.14773   0.29736
 106.00  -0.52169  -0.24078
 107.00  -0.46800   0.49411
 108.00   1.11410   0.27520
 109.00  -0.48569  -0.22075
 110.00  -0.43063   0.52669
 111.00   0.97326   0.39496
 112.00  -0.96763  -0.37407
 113.00  -0.62329   0.59357
 114.00   1.21528   0.22770
 115.00  -0.25150  -0.04488
 116.00  -0.76426   0.97382
 117.00   0.60878   0.43070
 118.00  -1.20664  -0.24092
 119.00  -0.62264   0.76779
 120.00   0.84899   0.44413
 121.00  -1.15589  -0.27383
 122.00  -0.60777   0.72595
 123.00   0.91286   0.41690
 124.00  -1.06511  -0.34191
 125.00  -0.61164   0.65793
 126.00   1.05851   0.30536
 127.00  -0.63986  -0.31026
 128.00  -0.57232   0.45051
 129.00   0.89386   0.78418
 130.00  -1.29475   0.66554
 131.00   0.85487   0.78651
 132.00  -1.29091   0.69234
 133.00   1.10411   0.75481
 134.00  -1.31157   0.48765
 135.00  -1.22693   0.11640
 136.00  -0.62900   0.85055
 137.00   0.64283   0.44874
 138.00  -1.22974  -0.19866
 139.00  -0.63008   0.78948
 140.00   0.81294   0.45337
 141.00  -1.18832  -0.23824
 142.00  -0.61218   0.75318
 143.00   0.86121   0.44072
 144.00  -1.14333  -0.28576
 145.00  -0.60718   0.71589
 146.00   0.93312   0.40487
 147.00  -1.02438  -0.36016
 148.00  -0.61659   0.63021
 149.00   1.12419   0.25337
 150.00  -0.40738  -0.16769
 151.00  -0.35295   0.64373
 152.00   0.43518   0.37822
 153.00  -1.05522  -0.39552
 154.00  -0.62723   0.65313
 155.00   1.09623   0.27256
 156.00  -0.49789  -0.22965
 157.00  -0.44484   0.51278
 158.00   1.02980   0.34756
 159.00  -0.79134  -0.36555
 160.00  -0.62655   0.49468
 161.00   0.82253   0.77139
 162.00  -1.29940   0.66915
 163.00   0.94296   0.79624
 164.00  -1.28918   0.67276
