

Duffing oscillator:   gamma = 0.29, omega = 1.2, alpha = -1.0, beta = 1.0, delta = 0.3
               x_0 = 1.00, xdot_0 = 0.00
 t/tau    x(t)     x_dot(t)
 19.00   0.56692   0.38004
 20.00   0.18655   0.19303
 21.00   0.68135   0.38769
 22.00   0.23611   0.24272
 23.00   0.56690   0.38003
 24.00   0.18656   0.19303
 25.00   0.68135   0.38769
 26.00   0.23610   0.24272
 27.00   0.56691   0.38004
 28.00   0.18656   0.19303
 29.00   0.68135   0.38769
 30.00   0.23611   0.24272
 31.00   0.56690   0.38004
 32.00   0.18656   0.19303
 33.00   0.68135   0.38769
 34.00   0.23611   0.24272
 35.00   0.56691   0.38004
 36.00   0.18656   0.19303
 37.00   0.68135   0.38769
 38.00   0.23611   0.24272
